videoId,id,textDisplay,likeCount,publishedAt,totalReplyCount,domain,genderBias,racialBias,hateSpeech,linguisticBias,textLevelContentBias,politicalBias,cognitiveBias
qBt_H4Gc-rU,UgzUjyzkxm_v3WvLV1J4AaABAg,Oh I thought I was supposed to put the swab all the way in my nose 💀,1.0,2021-11-05T19:34:50Z,0.0,healthcare,0.0,0.0,0.0,0.0,0.0,0.0,0.0
im3otpqYAiQ,UgxIDs2Fdw3gR6wE9Mp4AaABAg,42 days my A$$! What about neuropathy? Are they uninterested? Cover up?,0.0,2024-02-20T00:25:10Z,0.0,healthcare,0.0,0.0,0.0,1.0,1.0,0.0,0.0
9XoI5jF1qoA,UgwbxrIMUMwlY8hCO3F4AaABAg,Im 47 and have been going to the dr for two years for all these symptoms.  Never have they said i may be perimenopausal ... 🙃 Even tho i pms three weeks w month with spyratic periods.  Im losing my baby maker and nobody told me 🙃. Irritable eadily agitated and super emotional.  Im surrounded by idiots amd most wimen can probably relate.  🤷🏽💯,3.0,2019-07-09T19:09:19Z,1.0,healthcare,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Bz4fn2QFO_A,UgyXrwXqnvOEOHEUxVV4AaABAg,CBD WORKS BETTER IN CONCERT WITH OTHER CANNABINOIDS YOU GOOBER<br><br>STOP DOING YOUR HALF SCIENCE,0.0,2023-04-30T20:28:07Z,0.0,healthcare,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h4yfVpHQjCY,Ugwh33cwN3tvmHAqfRt4AaABAg,Nothing to see here,0.0,2022-09-23T21:12:27Z,0.0,healthcare,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R6EFevkcPr4,UgwOwiGrncY2kdhg-SB4AaABAg,This video is very competent and informative.  Thank you for helping me track my recovery with your scale.,0.0,2021-11-21T14:00:16Z,0.0,healthcare,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sidjKoHS6NE,UgzYOkA8jH4pIn2Hidl4AaABAg,What about getting a booster if you are 96?,0.0,2023-01-25T23:32:40Z,0.0,healthcare,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WZ8jQfy8p_g,UgxACmRjnr39DRb7Ju54AaABAg,This would be a great series covering different subs and different target areas. Loving this and the channel.,2.0,2021-07-22T14:34:02Z,1.0,healthcare,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K5nBDll97i4,UgzMx4PoEHABqV7-1eZ4AaABAg,try the yakrit plihantank churna of planet Ayurveda for better results,0.0,2020-05-15T17:37:14Z,0.0,healthcare,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HZdYAsEhn7U,Ugw-MORudHcA3cKm4U94AaABAg,Dr.Satish what is tonsillitis?,7.0,2023-03-11T09:30:08Z,1.0,healthcare,0.0,0.0,0.0,0.0,0.0,0.0,0.0
