,Unnamed: 0,videoId,id,textDisplay,likeCount,publishedAt,totalReplyCount,domain,genderBias,racialBias,hateSpeech,linguisticBias,textLevelContentBias,politicalBias,cognitiveBias
0,451,RxUb7yFASV4,Ugw9FLQrZPBoHSwwFsh4AaABAg,This dudes kid is getting into ever college,1,2022-07-08T21:41:35Z,0,jobEducation,,,,,,,
1,695,UuBa0ozsVLs,UgxVFk0XLpK-x20Ot-p4AaABAg,I appreciate your detail of study in this video. I remember those days. Getting back into this year,0,2022-09-28T13:02:23Z,0,jobEducation,,,,,,,
2,509,14yIlhKyFEw,UgyQoBtXuDEn6fAecgx4AaABAg,He what to make 👍 😂,0,2022-07-27T18:57:09Z,0,jobEducation,,,,,,,
3,1366,bn_KRzohcAo,UgzrSFfEDVgYUgDTO2Z4AaABAg,Not this time. After almost having a stroke 🤦‍♂,0,2022-10-11T21:52:01Z,0,jobEducation,,,,,,,
4,152,Ca2ZkMMoH14,UgzYiB8-S129-scvpp54AaABAg,Why do people bully asian people ? There so pretty and i love their culture!,0,2022-12-09T01:00:02Z,0,jobEducation,,,,,,,
5,529,tI96PKCfda4,Ugx9doWfMjcOvLkjy4d4AaABAg,AUGUST 25TH THATS MY BIRTHDAY!! :D,0,2022-10-16T16:00:25Z,0,jobEducation,,,,,,,
6,397,KYIldbgmza0,UgwEevgVb_R4V8-EFTZ4AaABAg,A collage student who sleep at 11? I&#39;m in high school and sleep at 2 am,0,2022-07-12T14:00:22Z,0,jobEducation,,,,,,,
7,688,UuBa0ozsVLs,Ugx8VsbX16GoAbdARjh4AaABAg,what&#39;s her id?,0,2022-09-28T13:02:23Z,0,jobEducation,,,,,,,
8,625,JdDFnVAL6pc,UgzKVF1wbZpTfGA5h0l4AaABAg,Bachelor Degrees are becoming the new High School Diploma now. It&#39;s not easy to return to college with the economy today.,0,2024-03-01T01:59:58Z,0,jobEducation,,,,,,,
9,462,P4PK_18haXw,UgwOiTc76fkDyNvSdLZ4AaABAg,U r studying which college vro,0,2022-09-22T14:15:17Z,0,jobEducation,,,,,,,
10,1398,r8W6K7Lys0A,UgyYbINuZKdEMaSqwEt4AaABAg,Salaam alaikum dear sister how can I contact you please,1,2024-02-20T14:30:17Z,1,jobEducation,,,,,,,
11,1311,kJ8xaL23r3c,Ugwtycj6JC-jaF4jNr54AaABAg,Alright so we’re just informing people about fake jobs now,0,2022-10-20T20:00:10Z,0,jobEducation,,,,,,,
12,1093,B7xmqFBuK9k,UgyKXCYdoL_AzNQFSAN4AaABAg,"It’s just relentlessly good, like the way Jorja took that last note of the bridge, the passing of the last chorus between the three of them, all the way to the “it’s not” like these girls DO NOT LET UP MY GOD😤😤",5,2022-11-28T16:00:10Z,0,jobEducation,,,,,,,
13,1287,EyKXvwpxfX8,Ugz-LvoletCfaoUrKch4AaABAg,No one wants a golf caddie that can’t go on a beer run.,0,2022-11-12T21:46:01Z,0,jobEducation,,,,,,,
14,1385,r8W6K7Lys0A,UgxTFAhpN2wAI0KjCl14AaABAg,Hi <br>Am Daniel Wilson by name this is my first time here I really love it. Thanks very much,1,2024-02-20T14:30:17Z,1,jobEducation,,,,,,,
15,539,p1f7oGHAfOs,UgwjkGhxqQC3tlgPCxV4AaABAg,Take the time to study was the best advice,0,2022-04-24T15:02:35Z,0,jobEducation,,,,,,,
