,videoId,id,textDisplay,likeCount,publishedAt,totalReplyCount
0,otJVsW-uIAs,UgxLxzdiEZi4sGw0nad4AaABAg,"One logical response to this is to boost an individual’s immune system.  Taking Moringa Leaf Powder, either in capsules or in soups or salads will achieve this goal.  It is antimicrobial.  It also has the highest nutritional profile of any plant.  In 2013, it was named “Plant Of The Year”, by The United States’ National Institutes Of Health.",0,2024-03-16T01:30:19Z,0
1,otJVsW-uIAs,UgxbMILIt4Tgfye61lJ4AaABAg,"Japan is highly jabbed with the mRNA concoction, weakening their immune systems and leaving them vulnerable nationwide.",1,2024-03-16T01:30:19Z,0
2,otJVsW-uIAs,UgyA_kBMWSWJ4xSzBgJ4AaABAg,So is it mysterious or known STSS ? <br>Dude I am confused 😂😂😂😂,0,2024-03-16T01:30:19Z,0
3,otJVsW-uIAs,Ugz1rsA_6sFzrR7Fbx94AaABAg,"Cheat the world again, idiots only will believe pls dun talk nonsense.",0,2024-03-16T01:30:19Z,0
4,otJVsW-uIAs,Ugx3hylsbgw2gl00QMt4AaABAg,This is probably not a Nuclear virus lol😂😂😂😂😂,0,2024-03-16T01:30:19Z,2
5,otJVsW-uIAs,UgwfFYkwUADku-XTUGd4AaABAg,"Asymptomatic was debunked, it&#39;s going to be harder for media to convince healthy people they are sick, I don&#39;t think governments will be able to lock down a healthy society ever again",0,2024-03-16T01:30:19Z,0
6,otJVsW-uIAs,UgzDTXDa4B3q9nZ9K6p4AaABAg,Strep throat is news these days. LOL Give it a fancy name and play some music to go with the fear porn. Dont trust anything coming out of d.c.,0,2024-03-16T01:30:19Z,0
7,otJVsW-uIAs,Ugw3OFsPeQxp6Oj-ftl4AaABAg,IS THIS ANOTHER CHINA LAB EXPORT LIKE COVID ( WUHAN VIRUS)?,0,2024-03-16T01:30:19Z,0
8,otJVsW-uIAs,UgxGOzz40lAbX4G8oOh4AaABAg,Fake News Fear Porn.,0,2024-03-16T01:30:19Z,0
9,otJVsW-uIAs,UgytFt0cdCyNQp8vHsl4AaABAg,"And people still dont believe were in a GLOBAL COLD WAR, THIS IS BIOWARFARE!",0,2024-03-16T01:30:19Z,0
10,otJVsW-uIAs,Ugxhdo12ejFzGyczvH54AaABAg,1:45</a> Of course this disease can cause debt. Any disease thst requires hospitalization can cause debt.,0,2024-03-16T01:30:19Z,0
11,otJVsW-uIAs,UgxjxS7yPWNhXhzBZNt4AaABAg,show must go on,0,2024-03-16T01:30:19Z,0
12,otJVsW-uIAs,UgzoTg9MInFgD2mtDYl4AaABAg,Nuclear Fish,1,2024-03-16T01:30:19Z,1
13,otJVsW-uIAs,UgwSueSbJhEXLGq2f1F4AaABAg,"The WHO want us to fell ill, and they are happy if somebody die or more people dies. They do not care.",0,2024-03-16T01:30:19Z,0
14,otJVsW-uIAs,UgwE0rR9stCCMo6F3Al4AaABAg,Just the perfect preparation to force the countries into a new treaty. 😁,4,2024-03-16T01:30:19Z,0
15,otJVsW-uIAs,UgzU46J4xfbDxNtkNUl4AaABAg,U.s have anything to do with it,0,2024-03-16T01:30:19Z,0
16,iSUL6kaEMOA,UgwaS664Do0d0yZZD3h4AaABAg,&#39;Millions of kids suffer from Manchausen Mommies&#39; fixed that for you 🥺,0,2024-03-15T16:30:09Z,0
17,iSUL6kaEMOA,UgzOOEnyqDRbbXw2D054AaABAg,This is one of the reasons vaccinating kids was important. Shame that parents were ill-informed of the risks of covid to their children.,0,2024-03-15T16:30:09Z,0
18,iSUL6kaEMOA,UgynZn_3tW6e40MRood4AaABAg,"Thank you for covering this important issue.  It is horrible that we are not urgently fixing the ventilation in schools, and bringing back 10 day isolation policies when infected, to keep kids safe in school.",1,2024-03-15T16:30:09Z,0
19,iSUL6kaEMOA,UgxPsCwbGVuXr2ORVdB4AaABAg,"100% complete BS, kids didn’t even know they had the China flu😂",1,2024-03-15T16:30:09Z,0
20,iSUL6kaEMOA,UgzcI9AJLn4RmtprHIJ4AaABAg,And a study from Australia says theres no such thing as long covid,9,2024-03-15T16:30:09Z,1
21,iSUL6kaEMOA,Ugy0C-UHNIp4GbUxS6N4AaABAg,It was the vaccine,11,2024-03-15T16:30:09Z,0
22,iSUL6kaEMOA,UgwKlUz5wo7MKSjqni54AaABAg,FakeNews19,1,2024-03-15T16:30:09Z,0
23,iSUL6kaEMOA,Ugw24gKWbgszZS1pBSl4AaABAg,"LOL.  The media is a joke.  Half say there is no long Covid, the other half says it’s very real.",0,2024-03-15T16:30:09Z,0
24,iSUL6kaEMOA,Ugw4GikgE4iDMbKZeGB4AaABAg,Just give him another vaccine!!!,9,2024-03-15T16:30:09Z,0
25,iSUL6kaEMOA,UgydXRWRmQHGoJc0O-J4AaABAg,Imagine believing it&#39;s long covid and not sides from the triple you know what.,17,2024-03-15T16:30:09Z,1
26,iSUL6kaEMOA,UgxExO_godIUNUFZPLB4AaABAg,You mean...long needles?,19,2024-03-15T16:30:09Z,1
27,iSUL6kaEMOA,Ugzoyz9pE5UqllfRc6N4AaABAg,Ask your doctor if pages of side effects that your government forced you to take is right for you,9,2024-03-15T16:30:09Z,2
28,iSUL6kaEMOA,Ugz93aqVr6u2nx_Q1C14AaABAg,Had long covid for 2 years due to an undiagnosed primary immune deficiency (PID).<br>I have hypogammaglobinemia and specific polysaccharide antibody deficiency (SAD).<br>Better known as CVID (Common Variable Immune Deficiency).<br>Also chronic B12 deficiency. <br><br>Ask your GP to check your total igG.,1,2024-03-15T16:30:09Z,4
29,iSUL6kaEMOA,UgywzTr-621IVZD-CrN4AaABAg,Just looking at her hair you can tell the kid is triple vaxed.,22,2024-03-15T16:30:09Z,3
30,iSUL6kaEMOA,Ugzzx4a43ZP5Muv5irN4AaABAg,Did COVID give the mother green hair?,12,2024-03-15T16:30:09Z,4
31,qq7Gl0Lza8g,Ugw5CyaKmTfoLZibu3l4AaABAg,Is there a dr cat fauci causing that to lmfao 😊,0,2024-03-16T16:00:42Z,0
32,qq7Gl0Lza8g,Ugz4mX6bdGtCT1F_lr54AaABAg,I wonder why covid has it out for the elderly/cat/dog pop its not like china has any of these problems,1,2024-03-16T16:00:42Z,0
33,qq7Gl0Lza8g,Ugz4BTkEpSWvMyF64kp4AaABAg,My cat shaka passed away from this i miss her so much 💞🫂🤗,0,2024-03-16T16:00:42Z,0
34,qq7Gl0Lza8g,UgwGY55uhhin9HqAZJ94AaABAg,"Just a dumb question from a non-cat-owner.... What about keeping your cats strictly INDOORS?! No way to get the virus then, or am I wrong here?",1,2024-03-16T16:00:42Z,2
35,qq7Gl0Lza8g,Ugw0hLbgPZ4SD9uhdup4AaABAg,I am surprised that the antiviral treatment GS-441524 was not mentioned. Maybe that is what one of them was referring to.,0,2024-03-16T16:00:42Z,0
36,qq7Gl0Lza8g,UgwgAU_XAlKa8gySB_N4AaABAg,"Praying for these cats and their caregivers. Come on, government, give up the medicine!",0,2024-03-16T16:00:42Z,0
37,qq7Gl0Lza8g,UgzhoDhauPwTpQwyNXN4AaABAg,Wondering if our vaccine will work on felines. The original smallpox vaccine was from cowpox which hurts cows but no symptoms on humans other than smallpox immunity,2,2024-03-16T16:00:42Z,0
38,qq7Gl0Lza8g,Ugzl3qz6qtO2rhczmG14AaABAg,FIP isnt something new or a mutated &quot;Corona Virus&quot;. Its unfortunatly a common desease and any long Time Cat owner should be familiar with it.,0,2024-03-16T16:00:42Z,0
39,qq7Gl0Lza8g,UgxTkI54yCd0GwSKWM14AaABAg,Nice to see they are not blaming China.,0,2024-03-16T16:00:42Z,0
40,qq7Gl0Lza8g,UgwnRRvKgC-S9WgHQRh4AaABAg,Marina has so many cats as to doom the lot of them to catching the virus. She should also be assumed to have toxoplasmosis.,0,2024-03-16T16:00:42Z,0
41,qq7Gl0Lza8g,Ugxxv4i1RrRSeFGCBYl4AaABAg,Literally everyone in this video has a horribly unintelligible accent,0,2024-03-16T16:00:42Z,0
42,qq7Gl0Lza8g,Ugx6BHS5dPE9dWREZLF4AaABAg,Is this the plan of evil western governments to control my cat with vaccines?,0,2024-03-16T16:00:42Z,0
43,qq7Gl0Lza8g,UgzvEcVUUNc_Qwnr1CN4AaABAg,"Just wondering how is the bird population doing on Cyprus? Cats are known to be the single most significant factor in wildlife decline. Not wind turbines as some say. Cats roaming freely, and even when fed by humans, they are still animals with instincts.",0,2024-03-16T16:00:42Z,1
44,qq7Gl0Lza8g,Ugzx25w5URtFjiOXV7Z4AaABAg,What does mean people lost 50% of their cats? The 50% of the death rate of cats were COVID?,0,2024-03-16T16:00:42Z,1
45,qq7Gl0Lza8g,Ugz7ALaye8Y1Rfikj0t4AaABAg,FIP is not new. It&#39;s not covid. How could that possibly work?,0,2024-03-16T16:00:42Z,0
46,qq7Gl0Lza8g,Ugw-2bjnAr2FwveO9814AaABAg,Oy vey another distraction 😂,1,2024-03-16T16:00:42Z,0
47,FULEqLMqM30,Ugzr8Exth0N1oT-0S-J4AaABAg,We need Long Covid Awareness Month! All month off!,0,2024-03-15T20:03:13Z,0
48,FULEqLMqM30,UgyjIu8n4LplUXXrh7Z4AaABAg,"❤tysm, you just said everything my virologist friend has been telling me.",0,2024-03-15T20:03:13Z,0
49,FULEqLMqM30,Ugyh7D7J5GljYHKTouR4AaABAg,"LOL, still pushing the lies huh? These boomers in power need to go away, stay away, and pass away. &quot;Long covid&quot; is a lie to cover up vaccine injuries.",0,2024-03-15T20:03:13Z,0
50,FULEqLMqM30,Ugx9etVzbNgOB0mz_iB4AaABAg,Oh thank you Bernie!! 🇺🇸,1,2024-03-15T20:03:13Z,0
51,FULEqLMqM30,UgyDfzXC0D8PvmdHgot4AaABAg,"&gt; &quot; I Am Once Again Asking For Your Support &quot;<br><br><br>&gt; Oh, you supported me ? NO REFUNDS.",0,2024-03-15T20:03:13Z,0
52,FULEqLMqM30,UgxApWOlkB5uI2dY-Ml4AaABAg,"It ain&#39;t new, it&#39;s myalgic encephalomyeltis / chronic fatigue syndrome. SARS-COV-2 just happens to be yet another virus that can cause our immune systems to destroy our own metabolism (probably attacks mitochondria).",0,2024-03-15T20:03:13Z,0
53,FULEqLMqM30,UgyXz2wUxKjDMQ7rqA54AaABAg,Good speech.  GOOD LUCK.!,0,2024-03-15T20:03:13Z,0
54,FULEqLMqM30,UgyxUg1JmKBbRhyQYDx4AaABAg,Go get em Bern 4 day work weeks and remote work SUPPORT LOCAL UNIONS &amp; TAX THE CRAP OUT OF THE RICH,0,2024-03-15T20:03:13Z,0
55,FULEqLMqM30,UgwpLWuT2ocMuUuynkZ4AaABAg,Thankyousir.God bless you.,0,2024-03-15T20:03:13Z,0
56,FULEqLMqM30,UgwSYrR5DkLhVLO-CuJ4AaABAg,9 months and thousands out-of-pocket for my recovery. There were days earlier on where I was suicidal and without hope or help.,0,2024-03-15T20:03:13Z,0
57,FULEqLMqM30,UgzvjsOU-E3_gbKdQLJ4AaABAg,It&#39;s not the virus. It&#39;s the mRNA vaccines. Take vitamin D.,0,2024-03-15T20:03:13Z,0
58,FULEqLMqM30,UgxsJwMuUxcDhN_FvLN4AaABAg,"thank you, bernie!  long covid person here.",1,2024-03-15T20:03:13Z,0
59,FULEqLMqM30,UgyRW6QjD_uo_GB9vPd4AaABAg,The real president,2,2024-03-15T20:03:13Z,0
60,FULEqLMqM30,UgyMA3v2tQfb-aKgMNZ4AaABAg,My butthole has long COVID and now it’s a corn hole communist 💙💙💙,0,2024-03-15T20:03:13Z,0
61,OTrzXPTM0IE,Ugx43Fg_6KUErbVQxtx4AaABAg,People r sick all over because of vacc. Injury. Super sick.<br>CHIPPER BAILEY.,0,2023-04-20T14:43:05Z,0
62,OTrzXPTM0IE,Ugwc1yhM7xjYLmuvCed4AaABAg,Thank god for Covid. It cured everything else.,1,2023-04-20T14:43:05Z,0
63,OTrzXPTM0IE,Ugwh6SaoElXqHQuUKpB4AaABAg,Someone is connected to you heavily. Which is energetically training you. Protect your energy and home at all times 🙏 🧘‍♀️,1,2023-04-20T14:43:05Z,0
64,OTrzXPTM0IE,UgyZ4Ol0Aha-9NRzJEp4AaABAg,Was it covid or OCD,0,2023-04-20T14:43:05Z,0
65,OTrzXPTM0IE,UgxFuD_G2c8GZTt2yGh4AaABAg,0:21</a> That&#39;s Rocky Maivia!,0,2023-04-20T14:43:05Z,0
66,OTrzXPTM0IE,Ugzs9saQ83YrylHFjhd4AaABAg,"I have Covid now and I don’t have a cold.  I have Major body aches!!!! That’s all. Feels like I’ve been run over by a truck.  Also I was very cold 🥶 in the beginning. But nah, this shit ain’t no cold.",0,2023-04-20T14:43:05Z,1
67,OTrzXPTM0IE,UgwnoBCpDSQtGLJAX-h4AaABAg,I have runny nose like really bad and  fatigue and sore throatjust want to sleep alot and a lil short of breath at first i lost my voice then sore throat it got worse jan 22 2024 got tested today jan 23 it was positive so does that mean im on day 2 or i had it since i lost my voice and i forgot when that was i will say a week ago,0,2023-04-20T14:43:05Z,0
68,OTrzXPTM0IE,UgxBmCPZYXFf3hNdisF4AaABAg,Everything but pregnant :),0,2023-04-20T14:43:05Z,0
69,OTrzXPTM0IE,UgxX31xJkoNwwSQ6ufZ4AaABAg,I ACHE ALL OVER MY BODY,2,2023-04-20T14:43:05Z,1
70,OTrzXPTM0IE,UgzXz2XS6IBbtr2z3b14AaABAg,I can&#39;t smell at all so I don&#39;t know if I have covid,0,2023-04-20T14:43:05Z,0
71,OTrzXPTM0IE,UgwqUu9--Dw0aPIt7yF4AaABAg,I had corona for 5 days in 24 to 29 December 2022 and I was feeling dizzy I was of balance I was feeling weak I was sneezing and coughing and no food tasted nothing my corona started 11 days after my birthday in 13 December in my first 11 days of being 12 years old I got corona I&#39;m now 13 years old,1,2023-04-20T14:43:05Z,0
72,OTrzXPTM0IE,Ugzjy4WToJ-KVM-F6iV4AaABAg,"😷😷😷more symptoms than this, get tested.😷😷😷",0,2023-04-20T14:43:05Z,0
73,OTrzXPTM0IE,UgyHZM6fTX_v0o7LWI54AaABAg,your nose is kinda runny and you think is kind of funny but it&#39;snot,0,2023-04-20T14:43:05Z,0
74,OTrzXPTM0IE,Ugwvs_LhgyjNvHN7W5d4AaABAg,"Covid 19 symptoms a made up delusional lie, just as always a winter cold maybe flu. I didnt take the covid shot and never will, your God is killing these humans. Its written don&#39;t preserve your life are you will lose it. Lose it in christ you will find it. But thets not all true either, if your name is not in the book of life.",1,2023-04-20T14:43:05Z,0
75,OTrzXPTM0IE,Ugz07m9S1eK0QvwRbwF4AaABAg,I Got Covid-19,0,2023-04-20T14:43:05Z,0
76,OTrzXPTM0IE,UgxpM84DUy9uq32B-1B4AaABAg,"With the real vaccines i received as a child i never got mumps, measles, whooping cough etc.<br>No symptoms..nothing..🤔🤔🤔🤔",0,2023-04-20T14:43:05Z,0
77,OTrzXPTM0IE,UgyYsgFV_bQP3mTS6ZJ4AaABAg,PhungD1EN9 done this,0,2023-04-20T14:43:05Z,0
78,OTrzXPTM0IE,UgxPv9SDh7PM3pzFoE94AaABAg,These symptoms are all the same as the cold and flu symptoms.,5,2023-04-20T14:43:05Z,1
79,eVRhnW0sKes,UgyPFk8Yq5o4E-iDkKF4AaABAg,"I was someone that is fairly asymptomatic for most diseases in my life and I&#39;m also apart of that 19% I guess but I did contract covid a few years back however, any new viruses as of now I&#39;ve essentially more immune to the coronovirus than I was before despite already being asymptomatic",0,2023-07-20T20:21:02Z,0
80,eVRhnW0sKes,Ugzqcdtsy8c0D4dXFCd4AaABAg,Nobody ever had it<br><br>Swabs never tested for it,0,2023-07-20T20:21:02Z,0
81,eVRhnW0sKes,UgyE4bg0VXa-4q8FZtB4AaABAg,Funny how they mention bacon.  You dont know how true that statement is.,0,2023-07-20T20:21:02Z,0
82,eVRhnW0sKes,UgzUO2oOFBOW_8u3cHF4AaABAg,approximately 1 in 25 people don’t fall for pHARMa INC. scams,1,2023-07-20T20:21:02Z,0
83,eVRhnW0sKes,Ugybm3htSv5Cdk2thAp4AaABAg,White women saving the day 🎉,0,2023-07-20T20:21:02Z,0
84,eVRhnW0sKes,Ugx-pYCSP5dBfWY9E3R4AaABAg,Asymptomatic is BS,0,2023-07-20T20:21:02Z,0
85,eVRhnW0sKes,UgwX2SEdIQYva3YPJ4d4AaABAg,I remember when taking a vaxx meant u wouldnt get sick😂😂,1,2023-07-20T20:21:02Z,0
86,eVRhnW0sKes,UgxDqwEBCwnoD148ia94AaABAg,How do I join this im one of these ppl had it 4 times no symptoms,0,2023-07-20T20:21:02Z,2
87,eVRhnW0sKes,UgzSungxss0mRceKZwp4AaABAg,It’s a lot higher than 20 percent,0,2023-07-20T20:21:02Z,0
88,eVRhnW0sKes,UgziAuxm-7Pd7Gf5DRl4AaABAg,Proof THEY&#39;RE focused on killing certain ppl and keeping others alive. 29000 yt ppl?,1,2023-07-20T20:21:02Z,0
89,eVRhnW0sKes,UgyKGIMnqCuPE3rGxZ14AaABAg,"bullshit , I WILL NOT COMPLY.",1,2023-07-20T20:21:02Z,0
90,eVRhnW0sKes,Ugz64t2vcpthaKqVOyB4AaABAg,Never been signalled out under a microscope. Therefore never existed.,3,2023-07-20T20:21:02Z,0
91,eVRhnW0sKes,UgzJM_gi91QmrtcWTHZ4AaABAg,More vaccines smfh buddy just stop,2,2023-07-20T20:21:02Z,0
92,eVRhnW0sKes,UgwpxsQIXqV4-ZhiDpl4AaABAg,"Uh, C19 vaccines never prevented infection, just kept you alive through it.",0,2023-07-20T20:21:02Z,1
93,eVRhnW0sKes,UgwzuR3I22T08Of27nV4AaABAg,“I cut it up thin my bacon :D” <br><br>I get it- homie is living his best life;<br>But I’m still gonna thank the gods everyday that I’m not that white lmao.,0,2023-07-20T20:21:02Z,0
94,eVRhnW0sKes,UgyxLiyYOAGPE1brVSN4AaABAg,...soo the shot does nothong but let you spread??,1,2023-07-20T20:21:02Z,1
95,eVRhnW0sKes,UgweEZLCmKWmvK604k14AaABAg,"This is an incredibly intelligent virus as it knows to return right before US election cycles.  Let me know when the situation becomes serious enough to CLOSE THE US SOUTHERN BORDER, until then, i&#39;ll just continue to live a normal life.",1,2023-07-20T20:21:02Z,0
96,k7Dvbo8pRqQ,Ugz-ad-7DNI5JBV7ko94AaABAg,Long Covid is now indistinguishable. I don’t know how bad these people feel? I’m sure they have health issues with a different terminology needed.,0,2024-03-15T13:00:43Z,0
97,k7Dvbo8pRqQ,Ugxd-mCo8aWVZaLYnmR4AaABAg,Okay... you caught covid while unvaccinated...but did you receive the covid vaccine during or shortly after having covid? If so how would you know if it&#39;s &quot;long covid&quot; or adverse effects from the vaccine? 🧐,0,2024-03-15T13:00:43Z,0
98,k7Dvbo8pRqQ,Ugxys0L2NlOsG9AeQGF4AaABAg,Cz of Hamaz,0,2024-03-15T13:00:43Z,0
99,k7Dvbo8pRqQ,Ugyw0vTC-YzbWduUjvR4AaABAg,Anti Vax basement dwellers out in force.,0,2024-03-15T13:00:43Z,0
100,k7Dvbo8pRqQ,Ugx0XhvE4GfEXgxngtB4AaABAg,2years for me.long covid.I believe it was May 2022.terrible brain fog .cfs.weakness.the whole works.😢😢😢,0,2024-03-15T13:00:43Z,0
101,k7Dvbo8pRqQ,UgxyAKGBSaEJJ2rPOdl4AaABAg,"So sorry to hear her story. Wish we would support these people better. Could breathing exercises bring any extra resolve, or mindfulness to deal with all the frustration? Much love",0,2024-03-15T13:00:43Z,0
102,k7Dvbo8pRqQ,UgwWAiwreSngjOxtg6R4AaABAg,"Long Covid? Maybe so , but I would firstly check my vitamine D levels and then do lots of research on detoxing, particularly if I were a recipient of latest gene therapy or similar trials associated with the desease",1,2024-03-15T13:00:43Z,0
103,k7Dvbo8pRqQ,Ugzn2QjDUkbjWPlVRV94AaABAg,Tracy looks well fed for spending 23 hous a day in bed...,0,2024-03-15T13:00:43Z,0
104,k7Dvbo8pRqQ,Ugz0uWktUTcOYrLUbMN4AaABAg,Need to change the name . With that name there will not be help,0,2024-03-15T13:00:43Z,0
105,k7Dvbo8pRqQ,Ugz8CcZS0OsI6UBqBLd4AaABAg,The jabs did it.,6,2024-03-15T13:00:43Z,2
106,k7Dvbo8pRqQ,UgzVZtAvqYPHUp0bXyp4AaABAg,"They&#39;re not suffering from covid. They suffer from the injections given to millions. Where once, nobody had any issues. They now have problems that affect their daily lives. I know ten people who all now have something wrong with themselves.",0,2024-03-15T13:00:43Z,0
107,k7Dvbo8pRqQ,UgyRDLfu8ufPwFghtnV4AaABAg,"I had slippery rib after the first covid,in 2020,and I’m still in pain.I’m unvaccinated.",0,2024-03-15T13:00:43Z,0
108,k7Dvbo8pRqQ,Ugz2FkBQgGypx34GJrt4AaABAg,You mean the vaccine right?,7,2024-03-15T13:00:43Z,0
109,k7Dvbo8pRqQ,UgzqvV5wmB14lB772-B4AaABAg,I and wife are suffering from effects like decreased immunity. <br><br>We are getting the diseases which we never thought and all these after covid.   It is same story with everyone infected.,2,2024-03-15T13:00:43Z,1
110,k7Dvbo8pRqQ,UgxSDZRkCIBXMLp3cd54AaABAg,Terribly disappointed with poor quality of info conveyed by &quot;doctor&quot;,2,2024-03-15T13:00:43Z,0
111,k7Dvbo8pRqQ,UgxkQ0sVXGEY8btdER94AaABAg,"For the usual collection of tin foil hatters who blame this condition on the covid vaccines, most of these people caught covid in 2020, before the vaccines were made available. <br>There would be an awful lot more of them as well, if it hadn&#39;t been for the vaccines.",0,2024-03-15T13:00:43Z,1
112,Bz4fn2QFO_A,UgwndTZ40-U0ljuCtvx4AaABAg,CBD gets me hallucinations in the Charle Bonnet syndrome. I have glaucoma. My MD tells me that the voids in my sights are filled up by the brain. It starts when I use CBD oil.,0,2023-04-30T20:28:07Z,0
113,Bz4fn2QFO_A,UgxqckVUlrLfichisu94AaABAg,I believe Rick Sampson Oil and CBD reversed my myocarditis from vax injury.,0,2023-04-30T20:28:07Z,0
